evento,numero di run,numero di evento,giorno,mese,anno,ora,minuti,secondi,miliardesimi di secondo,pT 0,eta 0,phi 0,pT 1,eta 1,phi 1,pT 2,eta 2,phi 2,pT nu,phi nu,NN,prob,differenza numero di run
288,302872,2496845934,27,6,2016,6,0,58,974470755,37.903,-0.745133,1.47399,26.3714,-1.04469,1.12474,18.9738,-0.937833,0.749459,75.8314,0.974382,0.0574971,0.0574971,0.0
289,302872,4723312239,27,6,2016,16,37,20,751840650,84.5263,-0.263285,1.92143,18.5283,-0.0625843,0.908622,167.566,0.619585,-1.5662,70.891,1.30216,0.489427,0.489427,0.0
300,302872,5749906004,27,6,2016,22,21,29,905565145,22.6958,-0.613829,2.67432,56.2177,-1.32715,3.00257,106.265,0.738756,-1.32841,93.5956,0.972124,0.709945,0.709945,0.0
301,302872,6385260864,28,6,2016,2,14,7,324602165,68.7131,1.2574,0.0292151,142.082,1.54148,-0.571012,60.3974,1.09444,-2.89251,65.2402,2.78325,0.188903,0.188903,0.0
84,302925,614117596,28,6,2016,17,17,1,815112940,90.6213,0.326078,-0.581196,40.0615,1.1242,-2.66948,113.732,-1.44878,1.10175,102.134,-2.835,0.000209335,0.000209335,53.0
315,302956,607280602,29,6,2016,6,13,20,183906840,19.566,-0.830329,1.63052,27.7244,-0.752966,2.15627,34.3679,1.33051,-0.182084,77.5713,1.71752,0.0271168,0.0271168,31.0
111,303208,41809197,2,7,2016,13,33,18,165111625,49.3011,0.356343,-0.749972,58.3601,0.609899,-1.8736,46.4727,0.760762,-2.09082,54.4893,-2.43079,0.262218,0.262218,252.0
112,303208,1412747889,2,7,2016,18,50,42,717290690,27.6761,0.269737,0.743009,110.278,-0.495011,1.00563,20.1336,-0.412584,-1.86802,171.244,3.06442,0.361526,0.361526,0.0
113,303208,1633053141,2,7,2016,19,37,38,93423150,47.6358,2.11636,-2.14563,34.0751,1.828,-2.34779,212.944,0.0385288,0.904904,130.575,-2.27667,0.651763,0.651763,0.0
114,303208,590625625,2,7,2016,15,41,32,433934825,36.2467,0.35642,0.0174835,17.4166,0.271324,-0.971396,29.9801,0.466401,-3.00718,34.5849,1.52046,0.472396,0.472396,0.0
147,303208,4796566756,3,7,2016,10,2,45,651987460,68.0373,0.277377,1.87429,35.6152,-1.9776,1.0051,94.1362,-1.25077,-2.07778,47.8479,-0.347025,6.47436e-05,6.47436e-05,0.0
148,303208,3383706883,3,7,2016,2,57,56,755369250,80.8876,0.637946,1.21213,54.9847,-0.669332,2.41983,129.734,0.759333,-0.96435,39.8268,2.95894,0.000395358,0.000395358,0.0
149,303208,5416495658,3,7,2016,13,12,7,499401295,29.9907,1.7585,1.7656,123.89,0.37288,-2.79448,85.8803,0.527199,-0.857892,43.7266,1.45216,0.00941801,0.00941801,0.0
36,303266,595148968,4,7,2016,0,53,25,642284915,41.1694,1.74167,-1.35269,117.181,1.64592,-1.58301,131.766,1.24861,-1.94856,43.224,1.77292,0.0588199,0.0588199,58.0
37,303266,182347562,3,7,2016,23,11,57,185543380,19.5073,1.19625,0.308928,38.9825,1.36087,-0.575835,35.8437,2.18538,-2.29373,49.7793,2.22919,0.51598,0.51598,0.0
38,303266,2432533752,4,7,2016,8,29,51,279589185,19.9637,0.256677,2.82587,30.8812,0.272083,-2.9016,17.1656,1.61792,1.07621,38.4,-0.961724,0.208444,0.208444,0.0
222,303304,85576771,4,7,2016,23,46,14,987670210,519.239,1.87768,-1.4317,62.1707,0.759927,2.20043,317.282,0.892155,1.63655,51.4452,-1.3869,2.70987e-12,2.70987e-12,38.0
223,303304,3078990469,5,7,2016,12,5,1,248493870,62.0241,-0.369769,-0.79369,22.5088,-0.884073,-1.04179,91.7147,-1.52965,-2.30328,103.648,2.3442,0.325417,0.325417,0.0
224,303304,2983204550,5,7,2016,11,30,46,899610520,65.3148,0.654037,-0.0234243,34.6358,2.24357,0.598459,56.8764,0.659906,3.03595,37.2084,-2.56985,0.00968253,0.00968253,0.0
225,303304,5205863284,5,7,2016,22,37,29,46969960,59.5439,0.466444,2.31491,64.6545,1.12275,-0.711258,37.4388,-1.30725,-0.697078,53.0817,2.57799,0.00028139,0.00028139,0.0
226,303304,5181516628,5,7,2016,22,29,40,180149550,94.0806,1.82871,0.138263,32.8796,1.44325,0.423339,67.7962,1.65403,2.3849,56.1661,-1.43253,0.372654,0.372654,0.0
178,303338,2735191108,6,7,2016,15,31,8,58992730,78.1421,0.538417,2.3781,35.9606,-0.361129,2.87471,157.769,0.304538,-0.143208,73.1505,-1.72745,0.277751,0.277751,34.0
179,303338,1790175786,6,7,2016,11,45,0,420958725,25.4936,1.43901,-0.54433,23.1456,0.935249,2.04213,42.8886,1.76516,3.11852,35.5113,-0.549501,0.199623,0.199623,0.0
180,303338,3927142360,6,7,2016,20,55,26,583307900,23.235,-1.62444,-2.56088,15.1579,-1.78854,-0.965094,59.9096,0.664533,0.958604,31.5754,-2.38049,0.0220527,0.0220527,0.0
181,303338,4127644512,6,7,2016,21,54,52,564606120,120.021,0.869867,-1.1105,116.518,0.683758,0.0328388,164.861,1.57346,-2.03665,91.7051,-2.77028,0.000151199,0.000151199,0.0
182,303338,4728221643,7,7,2016,0,56,50,422006900,100.493,-0.274298,2.37761,49.1405,-0.616012,2.80171,18.5679,0.60632,1.21842,86.2103,2.3077,0.274581,0.274581,0.0
183,303338,4944360337,7,7,2016,2,3,18,689471970,25.6354,1.78968,1.59813,42.567,1.921,-2.17298,41.874,1.65526,-2.12664,52.2121,-0.483846,0.259079,0.259079,0.0
